aggregate,accuracy,macro_f1,positive_recall,global_if_violation_rate,global_if_avg_violation,sex_if_gap_male_minus_female,marital_if_spread_min100,delta_accuracy,delta_macro_f1,delta_positive_recall,delta_global_if_violation_rate,delta_global_if_avg_violation,delta_sex_if_gap_male_minus_female,delta_marital_if_spread_min100
mean,0.816009,0.693788,0.382653,0.233103,0.018152,0.054233,0.216571,-0.001279,-0.020791,-0.068878,-0.027545,-0.004696,-0.004779,-0.032157
std,0.001193,0.001324,0.005449,0.002105,0.000585,0.003717,0.02248,0.001193,0.001324,0.005449,0.002105,0.000585,0.003717,0.02248
